Anime_name,duration,members,Score,medium,count of episodes/movies
Chihayafuru 2,Jan 2013 - Jun 2013,"231,859",8.38,TV,25
Cowboy Bebop: Tengoku no Tobira,Sep 2001 - Sep 2001,"369,998",8.38,Movie,1
Cross Game,Apr 2009 - Mar 2010,"122,843",8.38,TV,50
Made in Abyss Movie 2: Hourou Suru Tasogare,Jan 2019 - Jan 2019,"131,656",8.37,Movie,1
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Oct 2012 - Oct 2012,"199,665",8.37,Movie,1
Mo Dao Zu Shi: Xian Yun Pian,Aug 2019 - Sep 2019,"102,252",8.37,ONA,8
Non Non Biyori Nonstop,Jan 2021 - Mar 2021,"120,720",8.37,TV,12
Kaze no Tani no Nausicaä,Mar 1984 - Mar 1984,"367,618",8.36,Movie,1
Kizumonogatari I: Tekketsu-hen,Jan 2016 - Jan 2016,"519,219",8.36,Movie,1
Mahou Shoujo Madoka★Magica,Jan 2011 - Apr 2011,"1,262,543",8.36,TV,12
Baccano!,Jul 2007 - Nov 2007,"894,013",8.36,TV,13
Haikyuu!! To the Top,Jan 2020 - Apr 2020,"907,518",8.36,TV,13
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Jul 2020 - Sep 2020,"708,207",8.36,TV,12
Usagi Drop,Jul 2011 - Sep 2011,"488,496",8.35,TV,11
Shinseiki Evangelion,Oct 1995 - Mar 1996,"1,772,808",8.35,TV,26
Fumetsu no Anata e,Apr 2021 - Aug 2021,"843,043",8.35,TV,20
Gintama: Shiroyasha Koutan,Sep 2008 - Sep 2008,"69,054",8.35,Special,1
Hellsing Ultimate,Feb 2006 - Dec 2012,"911,363",8.35,OVA,10
K-On! Movie,Dec 2011 - Dec 2011,"324,214",8.35,Movie,1
Bakuman. 2nd Season,Oct 2011 - Mar 2012,"349,273",8.34,TV,25
IDOLiSH7 Third Beat! Part 2,Oct 2022 - Feb 2023,"12,933",8.34,TV,17
Initial D First Stage,Apr 1998 - Dec 1998,"370,651",8.34,TV,26
Suzume no Tojimari,Nov 2022 - Nov 2022,"295,440",8.34,Movie,1
Tian Guan Cifu,Oct 2020 - Jan 2021,"132,261",8.34,ONA,11
Psycho-Pass,Oct 2012 - Mar 2013,"1,603,830",8.34,TV,22
Ramayana: The Legend of Prince Rama,Jan 1993 - Jan 1993,"10,362",8.34,Movie,1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Jul 2020 - Sep 2020,"1,075,998",8.34,TV,13
Kidou Senshi Gundam: The Origin,Feb 2015 - May 2018,"71,978",8.33,OVA,6
Kiseijuu: Sei no Kakuritsu,Oct 2014 - Mar 2015,"1,826,678",8.33,TV,24
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Feb 2014 - Feb 2014,"78,930",8.33,OVA,1
One Outs,Oct 2008 - Apr 2009,"233,859",8.33,TV,25
Romeo no Aoi Sora,Jan 1995 - Dec 1995,"49,099",8.33,TV,33
Sasaki to Miyano Movie: Sotsugyou-hen,Feb 2023 - Feb 2023,"35,638",8.33,Movie,1
Bakemonogatari,Jul 2009 - Jun 2010,"1,378,724",8.33,TV,15
Tensei shitara Slime Datta Ken 2nd Season Part 2,Jul 2021 - Sep 2021,"721,153",8.33,TV,12
Versailles no Bara,Oct 1979 - Sep 1980,"95,290",8.33,TV,40
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Jul 2018 - Jul 2018,"321,629",8.33,Special,1
Tian Guan Cifu Special,Feb 2021 - Feb 2021,"43,943",8.32,ONA,1
Uchuu Senkan Yamato 2199,May 2012 - Oct 2013,"113,467",8.32,OVA,26
Kingdom 2nd Season,Jun 2013 - Mar 2014,"121,796",8.32,TV,39
Major S6,Apr 2010 - Sep 2010,"62,015",8.32,TV,25
Natsume Yuujinchou Go Specials,Mar 2017 - Apr 2017,"45,014",8.32,Special,2
Boku no Hero Academia 6th Season,Oct 2022 - Mar 2023,"596,135",8.32,TV,25
Fate/stay night: Unlimited Blade Works 2nd Season,Apr 2015 - Jun 2015,"838,883",8.32,TV,13
Given,Jul 2019 - Sep 2019,"554,067",8.32,TV,11
Hibike! Euphonium 2,Oct 2016 - Dec 2016,"222,777",8.31,TV,13
Hunter x Hunter: Original Video Animation,Jan 2002 - Apr 2002,"124,892",8.31,OVA,8
Katanagatari,Jan 2010 - Dec 2010,"554,453",8.31,TV,12
Barakamon,Jul 2014 - Sep 2014,"652,198",8.38,TV,12
Chihayafuru 2,Jan 2013 - Jun 2013,"231,859",8.38,TV,25
Cowboy Bebop: Tengoku no Tobira,Sep 2001 - Sep 2001,"369,998",8.38,Movie,1
Cross Game,Apr 2009 - Mar 2010,"122,843",8.38,TV,50
Made in Abyss Movie 2: Hourou Suru Tasogare,Jan 2019 - Jan 2019,"131,656",8.37,Movie,1
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Oct 2012 - Oct 2012,"199,665",8.37,Movie,1
Mo Dao Zu Shi: Xian Yun Pian,Aug 2019 - Sep 2019,"102,252",8.37,ONA,8
Non Non Biyori Nonstop,Jan 2021 - Mar 2021,"120,720",8.37,TV,12
Kaze no Tani no Nausicaä,Mar 1984 - Mar 1984,"367,618",8.36,Movie,1
Kizumonogatari I: Tekketsu-hen,Jan 2016 - Jan 2016,"519,219",8.36,Movie,1
Mahou Shoujo Madoka★Magica,Jan 2011 - Apr 2011,"1,262,543",8.36,TV,12
Baccano!,Jul 2007 - Nov 2007,"894,013",8.36,TV,13
Haikyuu!! To the Top,Jan 2020 - Apr 2020,"907,518",8.36,TV,13
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Jul 2020 - Sep 2020,"708,207",8.36,TV,12
Usagi Drop,Jul 2011 - Sep 2011,"488,496",8.35,TV,11
Shinseiki Evangelion,Oct 1995 - Mar 1996,"1,772,808",8.35,TV,26
Fumetsu no Anata e,Apr 2021 - Aug 2021,"843,043",8.35,TV,20
Gintama: Shiroyasha Koutan,Sep 2008 - Sep 2008,"69,054",8.35,Special,1
Hellsing Ultimate,Feb 2006 - Dec 2012,"911,363",8.35,OVA,10
K-On! Movie,Dec 2011 - Dec 2011,"324,214",8.35,Movie,1
Bakuman. 2nd Season,Oct 2011 - Mar 2012,"349,273",8.34,TV,25
IDOLiSH7 Third Beat! Part 2,Oct 2022 - Feb 2023,"12,933",8.34,TV,17
Initial D First Stage,Apr 1998 - Dec 1998,"370,651",8.34,TV,26
Suzume no Tojimari,Nov 2022 - Nov 2022,"295,440",8.34,Movie,1
Tian Guan Cifu,Oct 2020 - Jan 2021,"132,261",8.34,ONA,11
Psycho-Pass,Oct 2012 - Mar 2013,"1,603,830",8.34,TV,22
Ramayana: The Legend of Prince Rama,Jan 1993 - Jan 1993,"10,362",8.34,Movie,1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Jul 2020 - Sep 2020,"1,075,998",8.34,TV,13
Kidou Senshi Gundam: The Origin,Feb 2015 - May 2018,"71,978",8.33,OVA,6
Kiseijuu: Sei no Kakuritsu,Oct 2014 - Mar 2015,"1,826,678",8.33,TV,24
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Feb 2014 - Feb 2014,"78,930",8.33,OVA,1
One Outs,Oct 2008 - Apr 2009,"233,859",8.33,TV,25
Romeo no Aoi Sora,Jan 1995 - Dec 1995,"49,099",8.33,TV,33
Sasaki to Miyano Movie: Sotsugyou-hen,Feb 2023 - Feb 2023,"35,638",8.33,Movie,1
Bakemonogatari,Jul 2009 - Jun 2010,"1,378,724",8.33,TV,15
Tensei shitara Slime Datta Ken 2nd Season Part 2,Jul 2021 - Sep 2021,"721,153",8.33,TV,12
Versailles no Bara,Oct 1979 - Sep 1980,"95,290",8.33,TV,40
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Jul 2018 - Jul 2018,"321,629",8.33,Special,1
Tian Guan Cifu Special,Feb 2021 - Feb 2021,"43,943",8.32,ONA,1
Uchuu Senkan Yamato 2199,May 2012 - Oct 2013,"113,467",8.32,OVA,26
Kingdom 2nd Season,Jun 2013 - Mar 2014,"121,796",8.32,TV,39
Major S6,Apr 2010 - Sep 2010,"62,015",8.32,TV,25
Natsume Yuujinchou Go Specials,Mar 2017 - Apr 2017,"45,014",8.32,Special,2
Boku no Hero Academia 6th Season,Oct 2022 - Mar 2023,"596,135",8.32,TV,25
Fate/stay night: Unlimited Blade Works 2nd Season,Apr 2015 - Jun 2015,"838,883",8.32,TV,13
Given,Jul 2019 - Sep 2019,"554,067",8.32,TV,11
Hibike! Euphonium 2,Oct 2016 - Dec 2016,"222,777",8.31,TV,13
Hunter x Hunter: Original Video Animation,Jan 2002 - Apr 2002,"124,892",8.31,OVA,8
Katanagatari,Jan 2010 - Dec 2010,"554,453",8.31,TV,12
Kemono no Souja Erin,Jan 2009 - Dec 2009,"85,135",8.31,TV,50
Chihayafuru 2,Jan 2013 - Jun 2013,"231,859",8.38,TV,25
Cowboy Bebop: Tengoku no Tobira,Sep 2001 - Sep 2001,"369,998",8.38,Movie,1
Cross Game,Apr 2009 - Mar 2010,"122,843",8.38,TV,50
Made in Abyss Movie 2: Hourou Suru Tasogare,Jan 2019 - Jan 2019,"131,656",8.37,Movie,1
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Oct 2012 - Oct 2012,"199,665",8.37,Movie,1
Mo Dao Zu Shi: Xian Yun Pian,Aug 2019 - Sep 2019,"102,252",8.37,ONA,8
Non Non Biyori Nonstop,Jan 2021 - Mar 2021,"120,720",8.37,TV,12
Kaze no Tani no Nausicaä,Mar 1984 - Mar 1984,"367,618",8.36,Movie,1
Kizumonogatari I: Tekketsu-hen,Jan 2016 - Jan 2016,"519,219",8.36,Movie,1
Mahou Shoujo Madoka★Magica,Jan 2011 - Apr 2011,"1,262,543",8.36,TV,12
Baccano!,Jul 2007 - Nov 2007,"894,013",8.36,TV,13
Haikyuu!! To the Top,Jan 2020 - Apr 2020,"907,518",8.36,TV,13
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Jul 2020 - Sep 2020,"708,207",8.36,TV,12
Usagi Drop,Jul 2011 - Sep 2011,"488,496",8.35,TV,11
Shinseiki Evangelion,Oct 1995 - Mar 1996,"1,772,808",8.35,TV,26
Fumetsu no Anata e,Apr 2021 - Aug 2021,"843,043",8.35,TV,20
Gintama: Shiroyasha Koutan,Sep 2008 - Sep 2008,"69,054",8.35,Special,1
Hellsing Ultimate,Feb 2006 - Dec 2012,"911,363",8.35,OVA,10
K-On! Movie,Dec 2011 - Dec 2011,"324,214",8.35,Movie,1
Bakuman. 2nd Season,Oct 2011 - Mar 2012,"349,273",8.34,TV,25
IDOLiSH7 Third Beat! Part 2,Oct 2022 - Feb 2023,"12,933",8.34,TV,17
Initial D First Stage,Apr 1998 - Dec 1998,"370,651",8.34,TV,26
Suzume no Tojimari,Nov 2022 - Nov 2022,"295,440",8.34,Movie,1
Tian Guan Cifu,Oct 2020 - Jan 2021,"132,261",8.34,ONA,11
Psycho-Pass,Oct 2012 - Mar 2013,"1,603,830",8.34,TV,22
Ramayana: The Legend of Prince Rama,Jan 1993 - Jan 1993,"10,362",8.34,Movie,1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Jul 2020 - Sep 2020,"1,075,998",8.34,TV,13
Kidou Senshi Gundam: The Origin,Feb 2015 - May 2018,"71,978",8.33,OVA,6
Kiseijuu: Sei no Kakuritsu,Oct 2014 - Mar 2015,"1,826,678",8.33,TV,24
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Feb 2014 - Feb 2014,"78,930",8.33,OVA,1
One Outs,Oct 2008 - Apr 2009,"233,859",8.33,TV,25
Romeo no Aoi Sora,Jan 1995 - Dec 1995,"49,099",8.33,TV,33
Sasaki to Miyano Movie: Sotsugyou-hen,Feb 2023 - Feb 2023,"35,638",8.33,Movie,1
Bakemonogatari,Jul 2009 - Jun 2010,"1,378,724",8.33,TV,15
Tensei shitara Slime Datta Ken 2nd Season Part 2,Jul 2021 - Sep 2021,"721,153",8.33,TV,12
Versailles no Bara,Oct 1979 - Sep 1980,"95,290",8.33,TV,40
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Jul 2018 - Jul 2018,"321,629",8.33,Special,1
Tian Guan Cifu Special,Feb 2021 - Feb 2021,"43,943",8.32,ONA,1
Uchuu Senkan Yamato 2199,May 2012 - Oct 2013,"113,467",8.32,OVA,26
Kingdom 2nd Season,Jun 2013 - Mar 2014,"121,796",8.32,TV,39
Major S6,Apr 2010 - Sep 2010,"62,015",8.32,TV,25
Natsume Yuujinchou Go Specials,Mar 2017 - Apr 2017,"45,014",8.32,Special,2
Boku no Hero Academia 6th Season,Oct 2022 - Mar 2023,"596,135",8.32,TV,25
Fate/stay night: Unlimited Blade Works 2nd Season,Apr 2015 - Jun 2015,"838,883",8.32,TV,13
Given,Jul 2019 - Sep 2019,"554,067",8.32,TV,11
Hibike! Euphonium 2,Oct 2016 - Dec 2016,"222,777",8.31,TV,13
Hunter x Hunter: Original Video Animation,Jan 2002 - Apr 2002,"124,892",8.31,OVA,8
Katanagatari,Jan 2010 - Dec 2010,"554,453",8.31,TV,12
Kemono no Souja Erin,Jan 2009 - Dec 2009,"85,135",8.31,TV,50
Mushoku Tensei II: Isekai Ittara Honki Dasu,Jul 2023 - Sep 2023,"463,824",8.31,TV,12
Cowboy Bebop: Tengoku no Tobira,Sep 2001 - Sep 2001,"369,998",8.38,Movie,1
Cross Game,Apr 2009 - Mar 2010,"122,843",8.38,TV,50
Made in Abyss Movie 2: Hourou Suru Tasogare,Jan 2019 - Jan 2019,"131,656",8.37,Movie,1
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Oct 2012 - Oct 2012,"199,665",8.37,Movie,1
Mo Dao Zu Shi: Xian Yun Pian,Aug 2019 - Sep 2019,"102,252",8.37,ONA,8
Non Non Biyori Nonstop,Jan 2021 - Mar 2021,"120,720",8.37,TV,12
Kaze no Tani no Nausicaä,Mar 1984 - Mar 1984,"367,618",8.36,Movie,1
Kizumonogatari I: Tekketsu-hen,Jan 2016 - Jan 2016,"519,219",8.36,Movie,1
Mahou Shoujo Madoka★Magica,Jan 2011 - Apr 2011,"1,262,543",8.36,TV,12
Baccano!,Jul 2007 - Nov 2007,"894,013",8.36,TV,13
Haikyuu!! To the Top,Jan 2020 - Apr 2020,"907,518",8.36,TV,13
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Jul 2020 - Sep 2020,"708,207",8.36,TV,12
Usagi Drop,Jul 2011 - Sep 2011,"488,496",8.35,TV,11
Shinseiki Evangelion,Oct 1995 - Mar 1996,"1,772,808",8.35,TV,26
Fumetsu no Anata e,Apr 2021 - Aug 2021,"843,043",8.35,TV,20
Gintama: Shiroyasha Koutan,Sep 2008 - Sep 2008,"69,054",8.35,Special,1
Hellsing Ultimate,Feb 2006 - Dec 2012,"911,363",8.35,OVA,10
K-On! Movie,Dec 2011 - Dec 2011,"324,214",8.35,Movie,1
Bakuman. 2nd Season,Oct 2011 - Mar 2012,"349,273",8.34,TV,25
IDOLiSH7 Third Beat! Part 2,Oct 2022 - Feb 2023,"12,933",8.34,TV,17
Initial D First Stage,Apr 1998 - Dec 1998,"370,651",8.34,TV,26
Suzume no Tojimari,Nov 2022 - Nov 2022,"295,440",8.34,Movie,1
Tian Guan Cifu,Oct 2020 - Jan 2021,"132,261",8.34,ONA,11
Psycho-Pass,Oct 2012 - Mar 2013,"1,603,830",8.34,TV,22
Ramayana: The Legend of Prince Rama,Jan 1993 - Jan 1993,"10,362",8.34,Movie,1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Jul 2020 - Sep 2020,"1,075,998",8.34,TV,13
Kidou Senshi Gundam: The Origin,Feb 2015 - May 2018,"71,978",8.33,OVA,6
Kiseijuu: Sei no Kakuritsu,Oct 2014 - Mar 2015,"1,826,678",8.33,TV,24
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Feb 2014 - Feb 2014,"78,930",8.33,OVA,1
One Outs,Oct 2008 - Apr 2009,"233,859",8.33,TV,25
Romeo no Aoi Sora,Jan 1995 - Dec 1995,"49,099",8.33,TV,33
Sasaki to Miyano Movie: Sotsugyou-hen,Feb 2023 - Feb 2023,"35,638",8.33,Movie,1
Bakemonogatari,Jul 2009 - Jun 2010,"1,378,724",8.33,TV,15
Tensei shitara Slime Datta Ken 2nd Season Part 2,Jul 2021 - Sep 2021,"721,153",8.33,TV,12
Versailles no Bara,Oct 1979 - Sep 1980,"95,290",8.33,TV,40
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Jul 2018 - Jul 2018,"321,629",8.33,Special,1
Tian Guan Cifu Special,Feb 2021 - Feb 2021,"43,943",8.32,ONA,1
Uchuu Senkan Yamato 2199,May 2012 - Oct 2013,"113,467",8.32,OVA,26
Kingdom 2nd Season,Jun 2013 - Mar 2014,"121,796",8.32,TV,39
Major S6,Apr 2010 - Sep 2010,"62,015",8.32,TV,25
Natsume Yuujinchou Go Specials,Mar 2017 - Apr 2017,"45,014",8.32,Special,2
Boku no Hero Academia 6th Season,Oct 2022 - Mar 2023,"596,135",8.32,TV,25
Fate/stay night: Unlimited Blade Works 2nd Season,Apr 2015 - Jun 2015,"838,883",8.32,TV,13
Given,Jul 2019 - Sep 2019,"554,067",8.32,TV,11
Hibike! Euphonium 2,Oct 2016 - Dec 2016,"222,777",8.31,TV,13
Hunter x Hunter: Original Video Animation,Jan 2002 - Apr 2002,"124,892",8.31,OVA,8
Katanagatari,Jan 2010 - Dec 2010,"554,453",8.31,TV,12
Kemono no Souja Erin,Jan 2009 - Dec 2009,"85,135",8.31,TV,50
Mushoku Tensei II: Isekai Ittara Honki Dasu,Jul 2023 - Sep 2023,"463,824",8.31,TV,12
Natsume Yuujinchou,Jul 2008 - Sep 2008,"530,921",8.31,TV,13
Cross Game,Apr 2009 - Mar 2010,"122,843",8.38,TV,50
Made in Abyss Movie 2: Hourou Suru Tasogare,Jan 2019 - Jan 2019,"131,656",8.37,Movie,1
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Oct 2012 - Oct 2012,"199,665",8.37,Movie,1
Mo Dao Zu Shi: Xian Yun Pian,Aug 2019 - Sep 2019,"102,252",8.37,ONA,8
Non Non Biyori Nonstop,Jan 2021 - Mar 2021,"120,720",8.37,TV,12
Kaze no Tani no Nausicaä,Mar 1984 - Mar 1984,"367,618",8.36,Movie,1
Kizumonogatari I: Tekketsu-hen,Jan 2016 - Jan 2016,"519,219",8.36,Movie,1
Mahou Shoujo Madoka★Magica,Jan 2011 - Apr 2011,"1,262,543",8.36,TV,12
Baccano!,Jul 2007 - Nov 2007,"894,013",8.36,TV,13
Haikyuu!! To the Top,Jan 2020 - Apr 2020,"907,518",8.36,TV,13
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Jul 2020 - Sep 2020,"708,207",8.36,TV,12
Usagi Drop,Jul 2011 - Sep 2011,"488,496",8.35,TV,11
Shinseiki Evangelion,Oct 1995 - Mar 1996,"1,772,808",8.35,TV,26
Fumetsu no Anata e,Apr 2021 - Aug 2021,"843,043",8.35,TV,20
Gintama: Shiroyasha Koutan,Sep 2008 - Sep 2008,"69,054",8.35,Special,1
Hellsing Ultimate,Feb 2006 - Dec 2012,"911,363",8.35,OVA,10
K-On! Movie,Dec 2011 - Dec 2011,"324,214",8.35,Movie,1
Bakuman. 2nd Season,Oct 2011 - Mar 2012,"349,273",8.34,TV,25
IDOLiSH7 Third Beat! Part 2,Oct 2022 - Feb 2023,"12,933",8.34,TV,17
Initial D First Stage,Apr 1998 - Dec 1998,"370,651",8.34,TV,26
Suzume no Tojimari,Nov 2022 - Nov 2022,"295,440",8.34,Movie,1
Tian Guan Cifu,Oct 2020 - Jan 2021,"132,261",8.34,ONA,11
Psycho-Pass,Oct 2012 - Mar 2013,"1,603,830",8.34,TV,22
Ramayana: The Legend of Prince Rama,Jan 1993 - Jan 1993,"10,362",8.34,Movie,1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Jul 2020 - Sep 2020,"1,075,998",8.34,TV,13
Kidou Senshi Gundam: The Origin,Feb 2015 - May 2018,"71,978",8.33,OVA,6
Kiseijuu: Sei no Kakuritsu,Oct 2014 - Mar 2015,"1,826,678",8.33,TV,24
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Feb 2014 - Feb 2014,"78,930",8.33,OVA,1
One Outs,Oct 2008 - Apr 2009,"233,859",8.33,TV,25
Romeo no Aoi Sora,Jan 1995 - Dec 1995,"49,099",8.33,TV,33
Sasaki to Miyano Movie: Sotsugyou-hen,Feb 2023 - Feb 2023,"35,638",8.33,Movie,1
Bakemonogatari,Jul 2009 - Jun 2010,"1,378,724",8.33,TV,15
Tensei shitara Slime Datta Ken 2nd Season Part 2,Jul 2021 - Sep 2021,"721,153",8.33,TV,12
Versailles no Bara,Oct 1979 - Sep 1980,"95,290",8.33,TV,40
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Jul 2018 - Jul 2018,"321,629",8.33,Special,1
Tian Guan Cifu Special,Feb 2021 - Feb 2021,"43,943",8.32,ONA,1
Uchuu Senkan Yamato 2199,May 2012 - Oct 2013,"113,467",8.32,OVA,26
Kingdom 2nd Season,Jun 2013 - Mar 2014,"121,796",8.32,TV,39
Major S6,Apr 2010 - Sep 2010,"62,015",8.32,TV,25
Natsume Yuujinchou Go Specials,Mar 2017 - Apr 2017,"45,014",8.32,Special,2
Boku no Hero Academia 6th Season,Oct 2022 - Mar 2023,"596,135",8.32,TV,25
Fate/stay night: Unlimited Blade Works 2nd Season,Apr 2015 - Jun 2015,"838,883",8.32,TV,13
Given,Jul 2019 - Sep 2019,"554,067",8.32,TV,11
Hibike! Euphonium 2,Oct 2016 - Dec 2016,"222,777",8.31,TV,13
Hunter x Hunter: Original Video Animation,Jan 2002 - Apr 2002,"124,892",8.31,OVA,8
Katanagatari,Jan 2010 - Dec 2010,"554,453",8.31,TV,12
Kemono no Souja Erin,Jan 2009 - Dec 2009,"85,135",8.31,TV,50
Mushoku Tensei II: Isekai Ittara Honki Dasu,Jul 2023 - Sep 2023,"463,820",8.31,TV,12
Natsume Yuujinchou,Jul 2008 - Sep 2008,"530,921",8.31,TV,13
NHK ni Youkoso!,Jul 2006 - Dec 2006,"727,732",8.31,TV,24
Made in Abyss Movie 2: Hourou Suru Tasogare,Jan 2019 - Jan 2019,"131,656",8.37,Movie,1
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Oct 2012 - Oct 2012,"199,665",8.37,Movie,1
Mo Dao Zu Shi: Xian Yun Pian,Aug 2019 - Sep 2019,"102,252",8.37,ONA,8
Non Non Biyori Nonstop,Jan 2021 - Mar 2021,"120,720",8.37,TV,12
Kaze no Tani no Nausicaä,Mar 1984 - Mar 1984,"367,618",8.36,Movie,1
Kizumonogatari I: Tekketsu-hen,Jan 2016 - Jan 2016,"519,219",8.36,Movie,1
Mahou Shoujo Madoka★Magica,Jan 2011 - Apr 2011,"1,262,543",8.36,TV,12
Baccano!,Jul 2007 - Nov 2007,"894,013",8.36,TV,13
Haikyuu!! To the Top,Jan 2020 - Apr 2020,"907,518",8.36,TV,13
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Jul 2020 - Sep 2020,"708,207",8.36,TV,12
Usagi Drop,Jul 2011 - Sep 2011,"488,496",8.35,TV,11
Shinseiki Evangelion,Oct 1995 - Mar 1996,"1,772,808",8.35,TV,26
Fumetsu no Anata e,Apr 2021 - Aug 2021,"843,043",8.35,TV,20
Gintama: Shiroyasha Koutan,Sep 2008 - Sep 2008,"69,054",8.35,Special,1
Hellsing Ultimate,Feb 2006 - Dec 2012,"911,363",8.35,OVA,10
K-On! Movie,Dec 2011 - Dec 2011,"324,214",8.35,Movie,1
Bakuman. 2nd Season,Oct 2011 - Mar 2012,"349,273",8.34,TV,25
IDOLiSH7 Third Beat! Part 2,Oct 2022 - Feb 2023,"12,933",8.34,TV,17
Initial D First Stage,Apr 1998 - Dec 1998,"370,651",8.34,TV,26
Suzume no Tojimari,Nov 2022 - Nov 2022,"295,440",8.34,Movie,1
Tian Guan Cifu,Oct 2020 - Jan 2021,"132,261",8.34,ONA,11
Psycho-Pass,Oct 2012 - Mar 2013,"1,603,830",8.34,TV,22
Ramayana: The Legend of Prince Rama,Jan 1993 - Jan 1993,"10,362",8.34,Movie,1
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Jul 2020 - Sep 2020,"1,075,998",8.34,TV,13
Kidou Senshi Gundam: The Origin,Feb 2015 - May 2018,"71,978",8.33,OVA,6
Kiseijuu: Sei no Kakuritsu,Oct 2014 - Mar 2015,"1,826,678",8.33,TV,24
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Feb 2014 - Feb 2014,"78,930",8.33,OVA,1
One Outs,Oct 2008 - Apr 2009,"233,859",8.33,TV,25
Romeo no Aoi Sora,Jan 1995 - Dec 1995,"49,099",8.33,TV,33
Sasaki to Miyano Movie: Sotsugyou-hen,Feb 2023 - Feb 2023,"35,638",8.33,Movie,1
Bakemonogatari,Jul 2009 - Jun 2010,"1,378,724",8.33,TV,15
Tensei shitara Slime Datta Ken 2nd Season Part 2,Jul 2021 - Sep 2021,"721,153",8.33,TV,12
Versailles no Bara,Oct 1979 - Sep 1980,"95,290",8.33,TV,40
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Jul 2018 - Jul 2018,"321,629",8.33,Special,1
Tian Guan Cifu Special,Feb 2021 - Feb 2021,"43,943",8.32,ONA,1
Uchuu Senkan Yamato 2199,May 2012 - Oct 2013,"113,467",8.32,OVA,26
Kingdom 2nd Season,Jun 2013 - Mar 2014,"121,796",8.32,TV,39
Major S6,Apr 2010 - Sep 2010,"62,015",8.32,TV,25
Natsume Yuujinchou Go Specials,Mar 2017 - Apr 2017,"45,014",8.32,Special,2
Boku no Hero Academia 6th Season,Oct 2022 - Mar 2023,"596,135",8.32,TV,25
Fate/stay night: Unlimited Blade Works 2nd Season,Apr 2015 - Jun 2015,"838,883",8.32,TV,13
Given,Jul 2019 - Sep 2019,"554,067",8.32,TV,11
Hibike! Euphonium 2,Oct 2016 - Dec 2016,"222,777",8.31,TV,13
Hunter x Hunter: Original Video Animation,Jan 2002 - Apr 2002,"124,892",8.31,OVA,8
Katanagatari,Jan 2010 - Dec 2010,"554,453",8.31,TV,12
Kemono no Souja Erin,Jan 2009 - Dec 2009,"85,135",8.31,TV,50
Mushoku Tensei II: Isekai Ittara Honki Dasu,Jul 2023 - Sep 2023,"463,824",8.31,TV,12
Natsume Yuujinchou,Jul 2008 - Sep 2008,"530,921",8.31,TV,13
NHK ni Youkoso!,Jul 2006 - Dec 2006,"727,732",8.31,TV,24
Ookami to Koushinryou II,Jul 2009 - Sep 2009,"484,295",8.31,TV,12
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Oct 2012 - Oct 2012,"199,665",8.37,Movie,1
Mo Dao Zu Shi: Xian Yun Pian,Aug 2019 - Sep 2019,"102,252",8.37,ONA,8
Non Non Biyori Nonstop,Jan 2021 - Mar 2021,"120,720",8.37,TV,12
Kaze no Tani no Nausicaä,Mar 1984 - Mar 1984,"367,618",8.36,Movie,1
Kizumonogatari I: Tekketsu-hen,Jan 2016 - Jan 2016,"519,219",8.36,Movie,1
Mahou Shoujo Madoka★Magica,Jan 2011 - Apr 2011,"1,262,543",8.36,TV,12
Baccano!,Jul 2007 - Nov 2007,"894,013",8.36,TV,13
Haikyuu!! To the Top,Jan 2020 - Apr 2020,"907,518",8.36,TV,13
